link,titre,adresse,code_postal,prix_vente,f0_,prix_location,rendement_brut
https://www.leboncoin.fr/ad/ventes_immobilieres/2774600457,Appartement 3 pièces 59 m²,Annecy 74000,74000,349000,59.0,1054.0,0.036240687679083096
https://www.leboncoin.fr/ad/ventes_immobilieres/2514970412,Appartement 3 pièces 76 m²,Annecy 74000,74000,495000,76.0,1314.0,0.031854545454545455
https://www.leboncoin.fr/ad/ventes_immobilieres/2666366453,Appartement 3 pièces 86 m²,Annecy 74000,74000,495000,86.0,1444.0,0.0350060606060606
https://www.leboncoin.fr/ad/ventes_immobilieres/2626292909,Appartement 2 pièces 43 m²,Annecy 74000,74000,280000,43.0,860.0,0.036857142857142859
https://www.leboncoin.fr/ad/ventes_immobilieres/2795327703,Appartement 4 pièces 89 m²,Annecy 74000,74000,449500,89.0,1444.0,0.038549499443826477
https://www.leboncoin.fr/ad/ventes_immobilieres/2615252222,Appartement 3 pièces 65 m²,Annecy 74000,74000,399000,65.0,1184.0,0.035609022556390979
https://www.leboncoin.fr/ad/ventes_immobilieres/2785481036,Appartement 2 pièces 58 m²,Annecy 74000,74000,330000,58.0,1054.0,0.038327272727272731
https://www.leboncoin.fr/ad/ventes_immobilieres/2592660360,Appartement 2 pièces 35 m²,Annecy 74000,74000,379000,35.0,795.0,0.025171503957783642
https://www.leboncoin.fr/ad/ventes_immobilieres/2711731056,Studio 1 pièce 18 m²,Annecy 74000,74000,64938,18.0,535.0,0.098863531368382149
https://www.leboncoin.fr/ad/ventes_immobilieres/2803589427,Duplex 4 pièces 76 m²,Annecy 74000,74000,297900,76.0,1314.0,0.052930513595166165
https://www.leboncoin.fr/ad/ventes_immobilieres/2767075140,Appartement 4 pièces 80 m²,Annecy 74000,74000,299000,80.0,1379.0,0.055344481605351173
https://www.leboncoin.fr/ad/ventes_immobilieres/2807401586,T1bis+ cave+ gagare,Annecy 74000,74000,235000,40.0,860.0,0.043914893617021278
https://www.leboncoin.fr/ad/ventes_immobilieres/2721451377,Appartement 3 pièces 65 m²,Annecy 74000,74000,398000,65.0,1184.0,0.035698492462311555
https://www.leboncoin.fr/ad/ventes_immobilieres/2656325443,Appartement 2 pièces 46 m²,Annecy 74000,74000,289000,46.0,924.0,0.038366782006920418
https://www.leboncoin.fr/ad/ventes_immobilieres/2794731976,Appartement 3 pièces 62 m²,Annecy 74000,74000,371000,62.0,1119.0,0.036194070080862534
https://www.leboncoin.fr/ad/ventes_immobilieres/2774045272,Duplex 4 pièces 80 m²,Annecy 74000,74000,337000,80.0,1379.0,0.04910385756676558
https://www.leboncoin.fr/ad/ventes_immobilieres/2719032568,Appartement 1 pièce 23 m²,Annecy 74000,74000,154000,23.0,600.0,0.046753246753246755
https://www.leboncoin.fr/ad/ventes_immobilieres/2794023696,Appartement 3 pièces 60 m²,Annecy 74000,74000,279000,60.0,1119.0,0.048129032258064516
https://www.leboncoin.fr/ad/ventes_immobilieres/2708696235,Appartement 3 pièces 61 m²,Annecy 74000,74000,375000,61.0,1119.0,0.035808
https://www.leboncoin.fr/ad/ventes_immobilieres/2714112925,Appartement 3 pièces 59 m²,Annecy 74000,74000,395000,59.0,1054.0,0.032020253164556964
https://www.leboncoin.fr/ad/ventes_immobilieres/2623755933,Appartement 3 pièces 74 m²,Annecy 74000,74000,319000,74.0,1249.0,0.046984326018808781
https://www.leboncoin.fr/ad/ventes_immobilieres/2673326506,Appartement 3 pièces 64 m²,Annecy 74000,74000,498000,64.0,1119.0,0.026963855421686746
https://www.leboncoin.fr/ad/ventes_immobilieres/2626833839,Appartement 1 pièce 28 m²,Annecy 74000,74000,185000,28.0,665.0,0.043135135135135137
https://www.leboncoin.fr/ad/ventes_immobilieres/2493805281,Appartement 2 pièces 45 m²,Annecy 74000,74000,299000,45.0,924.0,0.03708361204013378
https://www.leboncoin.fr/ad/ventes_immobilieres/2565862890,Appartement 3 pièces 54 m²,Annecy 74000,74000,349000,54.0,989.0,0.03400573065902579
https://www.leboncoin.fr/ad/ventes_immobilieres/2760368572,Appartement 2 pièces 51 m²,Annecy 74000,74000,284550,51.0,989.0,0.041707959936742221
https://www.leboncoin.fr/ad/ventes_immobilieres/2791683777,Studio 1 pièce 16 m²,Annecy 74000,74000,122000,16.0,535.0,0.05262295081967213
https://www.leboncoin.fr/ad/ventes_immobilieres/2769066388,Appartement 3 pièces 79 m²,Annecy 74000,74000,367000,79.0,1314.0,0.042964577656675752
https://www.leboncoin.fr/ad/ventes_immobilieres/2762090857,Appartement 3 pièces 70 m²,Annecy 74000,74000,270000,70.0,1249.0,0.055511111111111108
https://www.leboncoin.fr/ad/ventes_immobilieres/2809694231,Appartement 1 pièce avec balcon/parking/cave,Annecy 74000,74000,195000,25.0,665.0,0.040923076923076923
https://www.leboncoin.fr/ad/ventes_immobilieres/2768697389,Appartement 2 pièces 35 m²,Annecy 74000,74000,248000,35.0,795.0,0.038467741935483871
https://www.leboncoin.fr/ad/ventes_immobilieres/2679211448,Appartement 2 pièces 41 m²,Annecy 74000,74000,395000,41.0,860.0,0.026126582278481011
https://www.leboncoin.fr/ad/ventes_immobilieres/2748683285,Appartement 3 pièces 71 m²,Annecy 74000,74000,329000,71.0,1249.0,0.045556231003039516
https://www.leboncoin.fr/ad/ventes_immobilieres/2347654391,Appartement - 4 pièces - Osmose - Quartier des...,Annecy 74000,74000,444000,0.0,0.0,0.0
https://www.leboncoin.fr/ad/ventes_immobilieres/2235070639,Appartement 2 pièces 32 m²,Annecy 74000,74000,175000,32.0,730.0,0.050057142857142856
https://www.leboncoin.fr/ad/ventes_immobilieres/2782547938,Studio 1 pièce 22 m²,Annecy 74000,74000,149000,22.0,600.0,0.04832214765100671
https://www.leboncoin.fr/ad/ventes_immobilieres/2790167295,Appartement 2 pièces 57 m²,Annecy 74000,74000,255000,57.0,1054.0,0.0496
https://www.leboncoin.fr/ad/ventes_immobilieres/2761760852,Appartement 2 pièces 53 m²,Annecy 74000,74000,180000,53.0,989.0,0.06593333333333333
https://www.leboncoin.fr/ad/ventes_immobilieres/2784202483,Appartement 4 pièces 78 m²,Annecy 74000,74000,361000,78.0,1314.0,0.043678670360110805
https://www.leboncoin.fr/ad/ventes_immobilieres/2634934273,Duplex 4 pièces 108 m²,Annecy 74000,74000,269000,108.0,0.0,0.0
https://www.leboncoin.fr/ad/ventes_immobilieres/2807330534,Duplex 4 pièces 104 m²,Annecy 74000,74000,450000,104.0,0.0,0.0
